gene,module,program,umap1,umap2
CD3E,1,other,3.4034755,3.115368
CORO1A,1,other,2.666958,3.1002293
RAC2,1,other,2.7637613,3.0100472
PTPRC,1,other,2.8110006,3.0925262
CD52,1,other,2.7649748,3.0410922
CD3D,1,other,3.4687884,3.1348896
CD2,1,other,3.5332854,3.1063933
HCST,1,other,2.8609655,3.102684
CD37,1,other,2.64047,3.1960516
KRT19,0,other,-3.2968159,7.617686
CD69,1,IFN_gamma,3.1688976,3.1397173
LAPTM5,1,other,2.4660466,3.3172429
LCK,1,other,3.6173453,3.216017
ARHGDIB,1,other,2.3272686,3.236094
BTG1,1,IFN_gamma,1.6692833,3.7271414
KRT18,0,other,-3.3263612,7.67188
SRGN,1,other,2.5416524,3.3037817
KRT8,0,other,-3.2858853,7.6316795
CD7,1,other,3.617009,3.0819695
C1S,2,IFN_alpha,1.1117302,10.012215
LIMD2,1,other,2.746711,3.0609355
TTK,7,G2M,1.9459205,15.512173
CXCR4,1,other,2.9356155,3.1862543
CALD1,2,other,0.8589833,9.282458
BRIP1,7,S_phase,2.0310705,15.408799
SERPING1,2,IFN_gamma,1.189256,9.109894
IL32,1,other,3.4644654,3.0821369
CST7,1,other,4.1747255,3.0234714
CD24,0,other,-3.4251506,7.5495706
HJURP,7,G2M,1.7044917,15.752838
EVL,1,other,3.2618709,3.3748152
TRBC2,1,other,3.5742218,3.2327056
IL2RG,1,other,2.9542253,3.0088313
CYTIP,1,other,3.1168797,3.2080474
FYB1,1,other,2.6595278,3.238896
SPINT2,0,other,-3.434217,7.562457
COL6A2,2,other,0.93298066,9.821879
EXO1,7,S_phase,1.975947,15.504407
GZMA,1,IFN_gamma,4.4619737,3.0268443
E2F8,7,S_phase,2.0039797,15.492904
S100A13,0,other,-0.5367319,8.029891
CCL5,1,IFN_gamma,4.1682043,3.0525513
HLA-E,1,other,1.3477988,3.9002578
CKAP2L,7,G2M,1.5113966,15.817413
KRT7,0,other,-3.3248403,7.721968
BATF2,7,IFN_alpha,2.1848261,15.183305
NEK2,7,G2M,1.7991232,15.650053
CDC25C,7,G2M,2.0939333,15.376224
FCER1G,4,other,2.9892821,7.5781245
CDC45,7,S_phase,1.8443695,15.604376
CDCA2,7,G2M,1.4034992,15.8698435
KIF2C,7,G2M,1.4581275,15.890161
CCNE2,7,S_phase,1.7609609,15.54567
AURKB,7,G2M,1.1375453,15.799084
DLGAP5,7,G2M,1.2927351,15.967657
C1R,2,IFN_gamma,1.2000738,10.172026
COL6A1,2,other,0.90050435,10.054474
TYROBP,4,other,2.8377786,7.4440484
GSN,2,other,1.2218819,8.599721
KIF11,7,G2M,1.5192089,15.821549
GAS2L3,7,G2M,2.1116216,15.232038
CST3,4,other,1.3688154,8.174296
ANLN,7,G2M,1.3181458,15.936783
SPARC,2,other,1.2269849,9.188195
IGFBP7,2,other,1.4904715,9.037226
CD9,0,other,-0.1754073,8.217612
CDC6,7,S_phase,1.8435386,15.5372715
IGFBP4,2,other,1.251248,8.986664
BUB1,7,G2M,1.4660066,15.811193
HMMR,7,G2M,1.3674318,15.895413
DTL,7,S_phase,1.6452029,15.614883
GTSE1,7,G2M,1.1176062,15.88553
LCP1,1,other,2.6235917,3.376009
KIF23,7,G2M,1.2103076,15.91357
SARAF,1,other,1.4738747,3.860693
MDK,0,other,-0.6179049,8.217006
RAD51,7,S_phase,1.8445681,15.599428
CD68,4,other,2.760659,7.698589
AIF1,4,other,2.9974566,7.679021
NKG7,1,other,4.5689726,3.047825
GPSM3,1,other,2.5336666,3.3325806
ZFP36L2,1,other,1.5134826,3.9526572
CENPA,7,G2M,1.1862707,15.944436
AZGP1,0,other,-3.3339067,7.596599
APP,2,other,0.9017032,8.631736
FXYD3,0,other,-3.4432263,7.7097383
PLA2G4A,7,IFN_gamma,2.1787035,15.032886
ACAP1,1,other,3.4648428,3.5478647
LTB,1,other,3.4557698,3.669107
AEBP1,2,other,1.0541463,10.129059
LYZ,4,other,3.0329232,7.677094
BGN,2,other,0.78901404,9.808493
FSTL1,2,other,1.0849644,10.039929
NUF2,7,G2M,1.1316129,15.886263
SPARCL1,2,other,1.7267574,9.0438385
GMFG,1,other,2.553939,3.3250742
BANK1,7,IFN_gamma,2.2777493,14.76331
IL7R,1,other,3.4710858,3.5957174
SERPINF1,2,other,1.2348572,9.878269
SPI1,4,other,3.092567,7.492051
MALAT1,5,other,1.447929,5.429045
MMP2,2,other,1.0997237,10.165435
CDCA3,7,G2M,1.058047,15.845589
CD3G,1,other,3.901488,3.4168944
CD274,7,IFN_gamma,2.2785742,14.850918
AURKA,7,G2M,1.100854,15.887843
PSRC1,7,G2M,1.4258728,15.81466
CAVIN1,2,other,1.464906,9.107395
DCN,2,other,1.0607504,10.113641
