module,program,module_size,prog_in_vocab,overlap,pval,qval,neglog10q
0,G2M,708,52,1,0.9997536323315873,1.0,-0.0
0,S_phase,708,42,0,1.0,1.0,-0.0
0,IFN_alpha,708,97,2,0.9999968955487019,1.0,-0.0
0,IFN_gamma,708,196,3,0.9999999999902033,1.0,-0.0
1,G2M,655,52,0,1.0,1.0,-0.0
1,S_phase,655,42,0,1.0,1.0,-0.0
1,IFN_alpha,655,97,15,0.33584650212068423,1.0,-0.0
1,IFN_gamma,655,196,22,0.8640605169283069,1.0,-0.0
2,G2M,432,52,0,1.0,1.0,-0.0
2,S_phase,432,42,0,1.0,1.0,-0.0
2,IFN_alpha,432,97,4,0.9791837742973049,1.0,-0.0
2,IFN_gamma,432,196,6,0.999768170390788,1.0,-0.0
3,G2M,398,52,0,1.0,1.0,-0.0
3,S_phase,398,42,0,1.0,1.0,-0.0
3,IFN_alpha,398,97,0,1.0,1.0,-0.0
3,IFN_gamma,398,196,0,1.0,1.0,-0.0
4,G2M,320,52,0,1.0,1.0,-0.0
4,S_phase,320,42,0,1.0,1.0,-0.0
4,IFN_alpha,320,97,2,0.9904171360880405,1.0,-0.0
4,IFN_gamma,320,196,16,0.22743757243911672,1.0,-0.0
5,G2M,254,52,0,1.0,1.0,-0.0
5,S_phase,254,42,0,1.0,1.0,-0.0
5,IFN_alpha,254,97,2,0.9676806370543619,1.0,-0.0
5,IFN_gamma,254,196,1,0.999980353486415,1.0,-0.0
6,G2M,219,52,0,1.0,1.0,-0.0
6,S_phase,219,42,0,1.0,1.0,-0.0
6,IFN_alpha,219,97,1,0.989507996160819,1.0,-0.0
6,IFN_gamma,219,196,0,1.0,1.0,-0.0
7,G2M,208,52,51,1.970469417966228e-71,1.7340130878102805e-69,68.76094762892305
7,S_phase,208,42,42,6.570868165502552e-60,2.8911819928211228e-58,57.53892456969556
7,IFN_alpha,208,97,33,5.88593326864595e-22,1.0359242552816872e-20,19.98467199817746
7,IFN_gamma,208,196,59,4.311441141411694e-36,9.485170511105727e-35,34.02295485756744
8,G2M,204,52,0,1.0,1.0,-0.0
8,S_phase,204,42,0,1.0,1.0,-0.0
8,IFN_alpha,204,97,0,1.0,1.0,-0.0
8,IFN_gamma,204,196,0,1.0,1.0,-0.0
9,G2M,174,52,0,1.0,1.0,-0.0
9,S_phase,174,42,0,1.0,1.0,-0.0
9,IFN_alpha,174,97,0,1.0,1.0,-0.0
9,IFN_gamma,174,196,0,1.0,1.0,-0.0
10,G2M,171,52,0,1.0,1.0,-0.0
10,S_phase,171,42,0,1.0,1.0,-0.0
10,IFN_alpha,171,97,0,1.0,1.0,-0.0
10,IFN_gamma,171,196,0,1.0,1.0,-0.0
11,G2M,151,52,0,1.0,1.0,-0.0
11,S_phase,151,42,0,1.0,1.0,-0.0
11,IFN_alpha,151,97,0,1.0,1.0,-0.0
11,IFN_gamma,151,196,0,1.0,1.0,-0.0
12,G2M,144,52,0,1.0,1.0,-0.0
12,S_phase,144,42,0,1.0,1.0,-0.0
12,IFN_alpha,144,97,0,1.0,1.0,-0.0
12,IFN_gamma,144,196,0,1.0,1.0,-0.0
13,G2M,137,52,0,1.0,1.0,-0.0
13,S_phase,137,42,0,1.0,1.0,-0.0
13,IFN_alpha,137,97,0,1.0,1.0,-0.0
13,IFN_gamma,137,196,0,1.0,1.0,-0.0
14,G2M,130,52,0,1.0,1.0,-0.0
14,S_phase,130,42,0,1.0,1.0,-0.0
14,IFN_alpha,130,97,0,1.0,1.0,-0.0
14,IFN_gamma,130,196,0,1.0,1.0,-0.0
15,G2M,108,52,0,1.0,1.0,-0.0
15,S_phase,108,42,0,1.0,1.0,-0.0
15,IFN_alpha,108,97,0,1.0,1.0,-0.0
15,IFN_gamma,108,196,0,1.0,1.0,-0.0
16,G2M,100,52,0,1.0,1.0,-0.0
16,S_phase,100,42,0,1.0,1.0,-0.0
16,IFN_alpha,100,97,0,1.0,1.0,-0.0
16,IFN_gamma,100,196,0,1.0,1.0,-0.0
17,G2M,81,52,0,1.0,1.0,-0.0
17,S_phase,81,42,0,1.0,1.0,-0.0
17,IFN_alpha,81,97,0,1.0,1.0,-0.0
17,IFN_gamma,81,196,0,1.0,1.0,-0.0
18,G2M,75,52,0,1.0,1.0,-0.0
18,S_phase,75,42,0,1.0,1.0,-0.0
18,IFN_alpha,75,97,38,1.9550442282025308e-47,5.7347964027274235e-46,45.24148199585191
18,IFN_gamma,75,196,15,2.1329461886204652e-07,3.128321076643349e-06,5.504688679314749
19,G2M,59,52,0,1.0,1.0,-0.0
19,S_phase,59,42,0,1.0,1.0,-0.0
19,IFN_alpha,59,97,0,1.0,1.0,-0.0
19,IFN_gamma,59,196,2,0.699540663628579,1.0,-0.0
20,G2M,57,52,0,1.0,1.0,-0.0
20,S_phase,57,42,0,1.0,1.0,-0.0
20,IFN_alpha,57,97,0,1.0,1.0,-0.0
20,IFN_gamma,57,196,0,1.0,1.0,-0.0
21,G2M,35,52,0,1.0,1.0,-0.0
21,S_phase,35,42,0,1.0,1.0,-0.0
21,IFN_alpha,35,97,0,1.0,1.0,-0.0
21,IFN_gamma,35,196,0,1.0,1.0,-0.0
