group,celltype,PC1,PC2
patient=CID3586__celltype=B-cell,B-cell,64.60973607935468,62.58271028965457
patient=CID3586__celltype=T-cells,T-cells,-327.66603845397225,20.340616977201936
patient=CID3586__celltype=equivocal,equivocal,70.34619811372414,-51.95910722965901
patient=CID3838__celltype=Myeloid,Myeloid,47.38499661799558,-60.604195909110146
patient=CID3838__celltype=T-cells,T-cells,-197.59591763147984,12.845469798387043
patient=CID3921__celltype=B-cell,B-cell,132.04548975166674,17.958620464964167
patient=CID3921__celltype=Endothelial,Endothelial,118.76755996155194,-8.081847484188714
patient=CID3921__celltype=Epithelial,Epithelial,88.27273157204615,-82.50636187795098
patient=CID3921__celltype=Myeloid,Myeloid,68.19130462903401,-17.979724546874568
patient=CID3921__celltype=T-cells,T-cells,-189.44178317353962,38.66527952903805
patient=CID3941__celltype=T-cells,T-cells,69.15474925160015,54.994712449842176
patient=CID3946__celltype=equivocal,equivocal,105.84842017696583,21.975002776603898
patient=CID3948__celltype=B-cell,B-cell,115.07427643180948,10.132909185920532
patient=CID3948__celltype=Epithelial,Epithelial,79.21476813846475,-18.45607349743081
patient=CID3948__celltype=T-cells,T-cells,-80.56482488402354,104.10787143992638
patient=CID3963__celltype=Epithelial,Epithelial,151.0159036221515,-27.088901053559535
patient=CID3963__celltype=Myeloid,Myeloid,58.98610479005462,-2.096339410557772
patient=CID3963__celltype=T-cells,T-cells,-303.05917259373746,13.753459407802914
patient=CID4040__celltype=Endothelial,Endothelial,80.75853927818167,-34.59254692540471
patient=CID4040__celltype=T-cells,T-cells,-199.96253165789088,-0.7192283860498845
patient=CID4066__celltype=Endothelial,Endothelial,29.635236387843072,-9.59696418492077
patient=CID4066__celltype=Myeloid,Myeloid,104.00430517189636,11.661874139172303
patient=CID4066__celltype=T-cells,T-cells,-214.15612590796937,59.57993069642287
patient=CID4066__celltype=equivocal,equivocal,-29.81835548397421,-66.62790038427653
patient=CID4067__celltype=Epithelial,Epithelial,-239.43598200480474,-67.3428121120401
