complex_id	gene
0	BCL6
0	HDAC4
1	BCL6
1	HDAC5
2	BCL6
2	HDAC7
3	EP300
3	CREBBP
3	KAT2B
3	NCOA3
4	HPS1
4	HPS4
5	HPS6
5	HPS3
5	HPS5
6	CDS1
6	MUS81
7	HDAC3
7	TBL1X
7	NCOR1
7	GPS2
7	CORO2A
7	TBL1XR1
8	SNAPIN
8	BLOC1S1
8	BLOC1S3
8	BLOC1S2
8	BLOC1S5
8	DTNBP1
8	BLOC1S4
8	BLOC1S6
9	ARPC1B
9	ARPC2
9	ARPC3
9	ARPC5
9	ARPC4
9	ACTR3
9	ACTR2
10	PSME3
11	PSME1
11	PSME2
12	PSMD11
12	PSMD12
12	PSMD9
12	PSMD14
12	PSMD3
12	PSMD10
12	PSMC3
12	PSMC2
12	PSMC4
12	PSMD8
12	PSMD7
12	PSMD4
12	PSMC1
12	PSMC5
12	PSMC6
12	PSMD2
12	PSMD6
12	PSMD5
12	PSMD1
12	PSMD13
13	AP1G1
13	AP1G2
13	AP1S2
13	AP1S1
13	AP1B1
13	AP1S3
13	AP1M1
13	AP1M2
14	MTA2
14	MBD3
14	BCL6
14	HDAC1
14	MTA3
15	SMARCA5
15	KIF4A
15	SMC2
15	HDAC1
15	SIN3A
15	SMC4
15	DNMT3B
16	RAB5A
16	RABEP1
16	RABGEF1
17	SAP18
17	SAP30
17	RBBP4
17	HDAC1
17	RBBP7
17	HDAC2
17	SIN3A
18	MAPK3
18	HDAC4
19	MAPK1
19	HDAC4
20	HDAC3
20	TBL1X
20	GPS2
20	TBL1XR1
20	NCOR2
21	AP3B1
21	AP3D1
21	AP3M2
21	AP3S2
21	AP3B2
21	AP3S1
21	AP3M1
22	STAT1
22	STAT2
22	IRF9
23	MTA2
23	MBD3
23	RBBP4
23	HDAC1
23	CHD4
23	RBBP7
23	HDAC2
24	MTA2
24	MBD3
24	RBBP4
24	HDAC1
24	CHD4
24	RBBP7
24	HDAC2
24	MBD2
25	MED14
25	MED24
25	THRA
25	MED1
25	MED12
25	MED17
25	THRAP3
25	MED16
26	AP4M1
26	AP4E1
26	AP4S1
26	AP4B1
27	TRPC1
27	ITPR3
27	HOMER3
28	RBX1
28	SKP1
28	SKP2
28	CUL1
29	RBX1
29	SKP1
29	CUL7
29	FBXW8
30	ARID1A
30	SMARCA4
30	ACTB
30	SMARCB1
30	CARM1
30	SMARCC2
30	SMARCC1
30	SMARCE1
30	SMARCD1
30	SCYL1
31	NUP98
31	SEC13
31	NUP107
31	NUP160
31	NUP43
31	NUP37
31	NUP133
31	SEH1L
31	NUP85
32	FANCG
32	FANCA
32	FANCC
32	FANCF
33	CD28
33	NCL
34	CDC27
34	CDC16
34	ANAPC1
34	CDC23
34	ANAPC7
34	ANAPC5
34	ANAPC4
34	ANAPC2
35	XRCC6
35	XRCC5
35	NAA15
36	CDC27
36	CDC16
36	ANAPC1
36	CDC23
36	ANAPC7
36	ANAPC5
36	ANAPC4
36	ANAPC2
36	ANAPC10
37	TP53
37	MDM2
37	EP300
38	SMARCA1
38	RBBP4
38	BPTF
38	RBBP7
39	POLR2D
39	GTF2F2
39	ERCC2
39	POLR2C
39	POLR2E
39	ERCC3
39	TBP
39	POLR2A
39	GTF2E1
39	GTF2E2
39	POLR2B
39	GTF2H1
39	GTF2F1
39	POLR2I
39	POLR2H
39	POLR2J
39	POLR2K
39	POLR2F
39	POLR2G
39	POLR2L
39	GTF2B
39	GTF2H2
39	GTF2H3
39	GTF2H4
40	POLR2D
40	POLR2C
40	POLR2E
40	POLR2A
40	POLR2B
40	POLR2I
40	POLR2H
40	POLR2J
40	POLR2K
40	POLR2F
40	POLR2G
40	POLR2L
41	ERCC2
41	ERCC3
41	GTF2H1
41	CDK7
41	CCNH
41	MNAT1
41	GTF2H2
41	GTF2H3
41	GTF2H4
42	PFDN6
42	PFDN1
42	VBP1
42	PFDN5
42	PFDN4
42	PFDN2
43	SNAPC5
43	SNAPC2
43	SNAPC1
43	SNAPC4
43	SNAPC3
44	CBX4
44	SMARCA5
44	HSPA1A
44	YY1
44	BMI1
44	PHC1
44	RING1
44	CBX2
44	PHC2
44	PHC3
44	SCMH1
44	RNF2
44	CBX8
45	GNA11
45	GNAQ
45	CD81
45	GNB1
45	ADGRG1
46	PIGA
46	PIGH
46	PIGC
46	PIGQ
47	LTA
47	LTBR
47	LTB
48	POP7
48	RPP40
48	RPP14
48	POP4
48	RPP38
48	RPP30
48	POP5
48	POP1
48	RPP25
48	RPP21
49	TCP1
49	CCT6A
49	CCT5
49	CCT3
49	CCT8
49	CCT4
49	CCT2
49	CCT7
50	NDC80
50	SPC24
50	NUF2
50	SPC25
51	CASP2
51	CRADD
51	PIDD1
52	LMO2
52	NHLH2
52	LDB1
52	BEX2
53	BSG
53	PSEN1
53	NCSTN
53	APH1A
53	PSENEN
54	APBB1
54	APP
54	LRP1
55	AP1G1
55	AP1G2
55	AP1S2
55	AP1S1
55	AP1B1
55	AP1AR
55	AP1S3
55	AP1M1
55	AP1M2
56	ACTL6A
56	SMARCA4
56	ACTB
56	SMARCB1
56	ARID2
56	PBRM1
56	SMARCC2
56	SMARCC1
56	SMARCE1
56	SMARCD1
57	GTF2E1
57	GTF2E2
58	GTF2F2
58	GTF2F1
59	GEMIN4
59	SYVN1
59	DERL1
60	SMC2
60	PARP1
60	XRCC1
60	NCAPH
60	NCAPD2
60	NCAPG
60	SMC4
61	SMC2
61	NCAPD3
61	NCAPH2
61	NCAPG2
61	SMC4
62	COG7
62	COG2
62	COG1
62	COG3
62	COG8
62	COG4
62	COG5
62	COG6
63	RAD21
63	SMC1A
63	STAG1
63	SMC3
64	RAD21
64	SMC1A
64	STAG2
64	SMC3
65	NBN
65	MRE11A
65	RAD50
66	OGT
66	TRAK2
66	TRAK1
67	NDUFS8
67	NDUFA4
67	NDUFAB1
67	NDUFA1
67	NDUFS4
67	NDUFB5
67	NDUFB3
67	NDUFC1
67	NDUFA2
67	NDUFS5
67	NDUFS7
67	NDUFS2
67	NDUFS6
67	NDUFB1
67	NDUFS3
67	NDUFB6
67	NDUFA3
67	NDUFB4
67	NDUFB8
67	NDUFB2
67	NDUFA7
67	NDUFC2
67	NDUFA10
67	NDUFB10
67	MT-ND1
67	MT-ND2
67	MT-ND3
67	MT-ND4L
67	MT-ND5
67	MT-ND6
67	NDUFB7
67	NDUFV2
67	NDUFS1
67	NDUFV1
67	NDUFA8
67	NDUFV3
67	NDUFA6
67	NDUFA5
67	NDUFA9
67	NDUFA11
67	NDUFB11
67	NDUFA13
67	NDUFA12
67	NDUFB9
68	PPP1CA
68	PPP1R10
69	PSMA7
69	PSMC3
69	PSMB1
69	PSMA1
69	PSMA2
69	PSMA3
69	PSMA4
69	PSMA5
69	PSMB4
69	PSMB6
69	PSMB5
69	PSMC2
69	PSMC4
69	PSMB3
69	PSMB2
69	PSMD4
69	PSMA6
69	PSMC1
69	PSMC5
69	PSMC6
69	PSMB7
69	PSMD13
70	CYFIP1
70	ABI1
70	BRK1
70	NCKAP1
70	WASF2
71	ARID1A
71	ACTL6B
71	ACTL6A
71	SMARCA2
71	SMARCA4
71	ACTB
71	ACTG1
71	SMARCB1
71	ARID1B
71	SMARCC2
71	SMARCC1
71	SMARCE1
71	SMARCD1
72	BUB3
72	BUB1B
72	CDC20
72	MAD2L1
73	PSMA7
73	PSMB1
73	PSMA1
73	PSMA2
73	PSMA3
73	PSMA4
73	PSMA5
73	PSMB4
73	PSMB6
73	PSMB5
73	PSMB3
73	PSMB2
73	PSMA6
73	PSMB7
74	PSMA7
74	PSMB1
74	PSMA1
74	PSMA2
74	PSMA3
74	PSMA4
74	PSMA5
74	PSMB4
74	PSMB6
74	PSMB5
74	PSMB3
74	PSMB2
74	PSMA6
74	PSME1
74	PSMB7
74	PSME2
75	PSMD11
75	PSMD12
75	PSMD9
75	PSMD14
75	PSMA7
75	PSMD3
75	PSMD10
75	PSMC3
75	PSMB1
75	PSMA1
75	PSMA2
75	PSMA3
75	PSMA4
75	PSMA5
75	PSMB4
75	PSMB6
75	PSMB5
75	PSMC2
75	PSMC4
75	PSMD8
75	PSMB3
75	PSMB2
75	PSMD7
75	PSMD4
75	PSMA6
75	PSMC1
75	PSMC5
75	PSMC6
75	PSME1
75	PSMD2
75	PSMD6
75	PSMD5
75	PSMB7
75	PSMD1
75	PSME2
75	PSMD13
76	PSMA7
76	PSMB1
76	PSMA1
76	PSMA2
76	PSMA3
76	PSMA4
76	PSMA5
76	PSMB4
76	PSMB6
76	PSMB5
76	PSMB3
76	PSMB2
76	PSMA6
76	PSME3
76	PSMB7
77	BRCA1
77	BARD1
78	VHL
78	RBX1
78	CUL2
78	TCEB1
78	TCEB2
79	TCEB1
79	TCEB2
79	CUL5
79	ASB2
79	RNF7
80	TCEB1
80	TCEB2
80	CUL5
80	RNF7
80	ASB1
81	TCEB1
81	TCEB2
81	CUL5
81	ASB6
81	RNF7
82	TCEB1
82	TCEB2
82	CUL5
82	ASB7
82	RNF7
83	TCEB1
83	TCEB2
83	ASB12
83	CUL5
83	RNF7
84	XRCC1
84	LIG4
85	RBX1
85	TCEB1
85	TCEB2
85	CUL5
85	WSB1
86	RBX1
86	CUL1
86	CAND1
87	NPM1
87	HUWE1
87	CDKN2A
88	RBX1
88	CUL2
88	CAND1
89	RBX1
89	CUL3
89	CAND1
90	RBX1
90	CUL4A
90	CAND1
91	RBX1
91	CUL4B
91	CAND1
92	SKP1
92	SKP2
92	CUL1
93	SKP1
93	CUL1
93	BTRC
94	MED14
94	MED24
94	MED6
94	CCNC
94	CDK8
94	MED21
94	MED1
94	MED31
95	MED14
95	MED6
95	CCNC
95	CDK8
95	MED21
95	MED10
95	MED23
96	MED19
96	MED7
96	MED14
96	MED24
96	MED6
96	MED26
96	CCNC
96	CDK8
96	MED21
96	MED22
96	MED1
96	MED27
96	MED13L
96	MED25
96	MED12
96	MED8
96	MED30
96	MED15
96	MED10
96	MED18
96	CDK19
96	MED28
96	MED20
96	MED4
96	MED17
96	MED9
96	MED29
96	MED11
96	MED13
96	MED23
96	MED16
96	MED31
97	MED7
97	MED14
97	MED24
97	MED6
97	MED26
97	MED1
97	MED25
97	MED12
97	MED8
97	MED15
97	MED4
97	MED17
97	MED13
97	ACAD8
97	MED23
98	SMARCA5
98	POLE3
98	CHRAC1
98	BAZ1A
99	SMARCA5
99	BAZ1B
100	ARID1A
100	ACTL6A
100	BRCA1
100	SMARCA2
100	SMARCA4
100	SMARCB1
100	SMARCC2
100	SMARCC1
100	SMARCD2
100	SMARCE1
101	BRCA1
101	RBBP8
101	ZNF350
102	BRCA1
102	BRIP1
103	CDK1
103	CCNB1
103	RALBP1
104	FANCG
104	FANCA
104	RPA2
104	RPA1
104	RPA3
104	MLH1
104	BLM
104	FANCC
104	TOP3A
104	RMI1
104	FANCE
104	FANCF
104	FANCL
105	MLH1
105	BLM
105	TOP3A
105	RMI1
106	AP2A1
106	CCNB1
106	NUMB
106	RALBP1
106	EPN1
107	FANCG
107	FANCA
107	RPA2
107	RPA1
107	RPA3
107	BLM
107	FANCC
107	TOP3A
107	FANCE
107	FANCF
107	FANCL
108	RAD51B
108	RAD51C
108	XRCC2
108	RAD51D
109	RAD51C
109	XRCC3
110	MND1
110	PSMC3IP
111	RAD51B
111	RAD51C
112	RAD51B
112	RAD51C
112	XRCC3
112	XRCC2
112	RAD51D
113	MRE11A
113	RAD50
114	ATR
114	ATRIP
115	RAD17
115	RFC4
115	RFC2
115	RFC5
115	RFC3
116	RAD1
116	HUS1
116	RAD17
116	RFC4
116	RFC2
116	RFC5
116	RFC3
116	RAD9A
117	RFC4
117	RFC2
117	RFC1
117	RFC5
117	RFC3
118	RFC4
118	RFC2
118	RFC5
119	GAPDH
119	HMGB1
119	HSPA8
119	HMGB2
119	PDIA3
120	RAD21
120	SMARCA5
120	MTA2
120	MBD3
120	RBBP4
120	CHD3
120	MTA1
120	HDAC1
120	SMC1A
120	RBBP7
120	STAG2
120	STAG1
120	HDAC2
120	BAZ1A
120	MBD2
120	SMC3
121	MED7
121	MED14
121	MED24
121	MED6
121	MED26
121	MED21
121	MED1
121	MED25
121	MED15
121	MED17
121	MED23
122	PCNA
122	MLH1
122	PMS1
123	PCNA
123	MSH2
123	MSH6
124	MED7
124	MED14
124	MED24
124	MED6
124	CCNC
124	CDK8
124	MED21
124	MED1
124	MED25
124	MED12
124	MED15
124	MED17
124	MED13
124	MED23
125	MED7
125	MED14
125	MED24
125	MED6
125	MED26
125	CCNC
125	CDK8
125	MED21
125	MED1
125	MED25
125	MED12
125	MED15
125	MED17
125	MED13
125	MED23
126	PCNA
126	POLD1
126	POLD2
126	POLD3
126	POLD4
127	APEX1
127	STAT3
127	HIF1A
127	CITED1
128	IRF3
128	CITED1
129	MED7
129	MED14
129	MED24
129	MED6
129	MED21
129	MED27
129	MED10
129	MED20
129	MED17
129	THRAP3
129	MED16
129	MED31
130	MED7
130	MED14
130	MED24
130	MED6
130	CCNC
130	CDK8
130	MED21
